Fagkode;Fylke;Skolenavn;20-21.SE.G.SK;20-21.SE.G.AE;20-21.SE.J.SK;20-21.SE.J.AE;20-21.SP.G.SK;20-21.SP.G.AE;20-21.SP.J.SK;20-21.SP.J.AE;21-22.SE.G.SK;21-22.SE.G.AE;21-22.SE.J.SK;21-22.SE.J.AE;21-22.SP.G.SK;21-22.SP.G.AE;21-22.SP.J.SK;21-22.SP.J.AE;22-23.SE.G.SK;22-23.SE.G.AE;22-23.SE.J.SK;22-23.SE.J.AE;22-23.SP.G.SK;22-23.SP.G.AE;22-23.SP.J.SK;22-23.SP.J.AE;23-24.SE.G.SK;23-24.SE.G.AE;23-24.SE.J.SK;23-24.SE.J.AE;23-24.SP.G.SK;23-24.SP.G.AE;23-24.SP.J.SK;23-24.SP.J.AE;24-25.SE.G.SK;24-25.SE.G.AE;24-25.SE.J.SK;24-25.SE.J.AE;24-25.SP.G.SK;24-25.SP.G.AE;24-25.SP.J.SK;24-25.SP.J.AE
NOR1267;Alle fylker;Alle skoler;;;;;;;;;;;;;;;;;4,1;2 790;4,5;3 851;3,9;10 452;4,4;13 082;3,5;10 227;3,9;13 179;3,9;10 377;4,4;13 359;3,5;10 147;3,9;12 879;3,9;10 257;4,4;12 994
NOR1267;Alle fylker;Alle skoler;;;;;;;;;;;;;;;;;4,1;2 790;4,5;3 851;3,9;10 452;4,4;13 082;3,5;10 227;3,9;13 179;3,9;10 377;4,4;13 359;3,5;10 147;3,9;12 879;3,9;10 257;4,4;12 994
NOR1267;Agder;Alle skoler;;;;;;;;;;;;;;;;;4,2;99;4,9;160;3,7;544;4,4;700;3,5;533;3,8;654;3,8;539;4,2;658;3,5;480;3,9;726;3,9;482;4,4;730
NOR1267;Agder;Akademiet Kristiansand AS;;;;;;;;;;;;;;;;;*;*;*;*;3,7;13;4,3;11;*;*;*;*;*;*;*;*;3,2;6;3,7;12;3,3;6;4,3;12
NOR1267;Agder;Arendal videregående skole avd Tyholmen;;;;;;;;;;;;;;;;;4,2;14;*;*;*;*;4,4;71;3,6;71;3,9;75;3,7;72;4,4;75;*;*;*;*;*;*;*;*
NOR1267;Agder;Dahlske videregående skole;;;;;;;;;;;;;;;;;4,9;11;*;*;*;*;*;*;3,8;47;3,7;52;3,6;48;3,8;52;*;*;*;*;*;*;*;*
NOR1267;Agder;Drottningborg Vgs AS;;;;;;;;;;;;;;;;;*;*;*;*;4,2;21;4,3;46;3,3;24;4,0;41;3,8;24;4,3;41;3,8;23;4,0;41;3,6;23;4,0;42
NOR1267;Agder;Eilert Sundt videregående skole Studiested Farsund;;;;;;;;;;;;;;;;;*;*;*;*;3,7;26;4,6;31;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Agder;Flekkefjord videregående skole Studiested Flekkefjord;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;3,2;21;*;*;3,9;21;*;*;3,5;27;3,7;35;4,3;27;4,8;36
NOR1267;Agder;Kristiansand katedralskole Gimle;;;;;;;;;;;;;;;;;4,0;26;5,0;36;3,6;141;4,5;133;3,7;135;4,0;119;4,1;136;4,4;121;3,7;98;4,0;152;4,2;99;4,6;152
NOR1267;Agder;Kvs-Lyngdal AS;;;;;;;;;;;;;;;;;*;*;*;*;4,4;16;4,8;38;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Agder;Lillesand videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,2;22;4,4;31;3,9;21;3,7;26;4,2;22;4,0;26;3,6;28;4,0;26;4,3;28;4,7;26
NOR1267;Agder;Mandal videregående skole;;;;;;;;;;;;;;;;;*;*;4,8;11;3,8;33;4,2;44;3,7;34;4,1;47;3,9;34;4,2;47;3,5;18;3,8;55;3,5;18;3,9;55
NOR1267;Agder;Oasen videregående skole AS;;;;;;;;;;;;;;;;;*;*;;;*;*;*;*;;;*;*;;;*;*;*;*;*;*;*;*;*;*
NOR1267;Agder;Risør videregående skole;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;3,3;14;*;*;3,6;14;*;*;3,2;11;3,9;12;3,7;11;4,8;12
NOR1267;Agder;Setesdal vidaregåande skule;;;;;;;;;;;;;;;;;;;*;*;3,6;16;4,0;27;3,3;20;4,1;20;3,3;20;4,1;20;3,8;25;4,2;26;3,7;26;4,1;26
NOR1267;Agder;Smi-Skolen i Agder;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Agder;Tangen videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,5;28;4,2;46;2,9;27;3,5;57;3,4;27;4,1;58;3,3;28;3,8;60;3,7;28;4,4;60
NOR1267;Agder;Tvedestrand videregående skole;;;;;;;;;;;;;;;;;4,3;8;*;*;3,8;23;4,2;26;4,4;7;3,9;22;4,3;8;4,2;22;*;*;3,8;28;*;*;4,5;29
NOR1267;Agder;Vennesla videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,4;19;4,4;23;3,1;24;3,5;22;4,5;24;4,6;22;3,8;16;3,9;11;3,6;16;4,2;11
NOR1267;Agder;Vågsbygd videregående skole;;;;;;;;;;;;;;;;;*;*;4,9;9;3,8;44;4,4;58;3,3;40;3,8;41;3,5;40;4,2;41;3,2;48;3,7;46;3,9;48;4,5;46
NOR1267;Akershus;Alle skoler;;;;;;;;;;;;;;;;;;;;;;;;;3,5;1 795;3,9;1 947;4,0;1 815;4,4;1 968;3,5;1 855;3,9;2 042;3,9;1 871;4,4;2 057
NOR1267;Akershus;Akademiet Vgs Sandvika AS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*
NOR1267;Akershus;Asker videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,5;76;4,8;98;4,0;67;4,4;97;4,6;67;4,9;99;3,9;87;4,1;123;4,3;87;4,7;124
NOR1267;Akershus;Bjertnes videregående skole;;;;;;;;;;;;;;;;;4,4;7;5,1;10;3,6;60;4,2;63;4,1;69;4,0;72;4,0;69;4,4;73;3,5;58;4,0;62;3,6;58;4,3;62
NOR1267;Akershus;Bjørkelangen videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,6;26;4,3;33;3,4;30;3,6;45;3,6;30;4,2;46;3,5;28;3,9;25;3,6;28;3,9;25
NOR1267;Akershus;Dønski videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,8;44;3,9;32;3,0;28;3,5;24;3,8;28;4,1;24;3,2;43;3,5;25;3,4;43;3,8;26
NOR1267;Akershus;Eidsvoll videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,4;17;4,6;24;3,7;35;3,7;40;4,1;36;4,3;40;3,0;24;3,3;36;3,9;24;4,4;36
NOR1267;Akershus;Eikeli videregående skole;;;;;;;;;;;;;;;;;4,1;22;4,4;7;3,3;82;4,0;45;3,2;115;3,7;58;3,4;116;3,7;58;3,5;99;3,9;80;3,5;100;3,9;81
NOR1267;Akershus;Feiring videregående skole AS;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Akershus;Frogn videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,0;60;4,3;76;3,4;60;3,6;67;4,0;62;4,3;68;3,5;61;3,3;50;3,9;61;4,1;50
NOR1267;Akershus;Hoppensprett Akademiet Vgs Jessheim AS;;;;;;;;;;;;;;;;;;;*;*;4,0;14;4,8;20;3,0;25;2,8;20;3,9;25;4,6;20;2,7;32;2,8;16;4,0;32;4,1;16
NOR1267;Akershus;Jessheim videregående skole;;;;;;;;;;;;;;;;;4,2;18;4,3;20;4,0;78;4,5;104;3,5;63;3,8;105;3,9;65;4,4;106;3,4;82;3,9;115;3,9;82;4,6;115
NOR1267;Akershus;Lillestrøm videregående skole;;;;;;;;;;;;;;;;;4,9;9;5,5;28;4,3;65;4,7;103;3,7;65;4,2;87;4,5;66;5,1;88;3,8;74;4,3;92;4,5;74;5,0;93
NOR1267;Akershus;Lørenskog videregående skole;;;;;;;;;;;;;;;;;4,4;19;4,9;21;4,4;50;4,6;81;3,5;79;3,7;70;4,1;80;4,4;71;3,7;65;3,8;87;4,3;65;4,6;88
NOR1267;Akershus;Mailand videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,8;50;4,4;92;*;*;*;*;*;*;*;*;3,2;60;3,7;83;3,7;61;4,2;83
NOR1267;Akershus;Nadderud videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,6;54;4,8;93;4,3;55;4,5;83;4,6;55;4,8;84;4,2;55;4,3;89;4,4;55;4,7;90
NOR1267;Akershus;Nannestad videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,1;46;4,7;37;3,5;34;3,8;39;4,0;34;4,2;39;2,7;44;3,2;40;3,3;45;4,0;41
NOR1267;Akershus;Nes videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,0;20;4,4;33;3,4;19;3,9;34;3,2;19;3,9;35;*;*;*;*;*;*;*;*
NOR1267;Akershus;Nesbru videregående skole;;;;;;;;;;;;;;;;;3,4;17;3,6;7;3,5;92;4,0;79;3,9;103;4,0;88;3,7;105;4,1;89;3,3;98;3,6;81;3,3;99;3,9;81
NOR1267;Akershus;Nesodden videregående skole;;;;;;;;;;;;;;;;;5,5;6;5,0;6;4,1;55;4,5;37;3,6;51;4,0;42;4,2;51;4,4;42;3,4;56;3,7;47;3,8;59;4,5;47
NOR1267;Akershus;Norges Realfagsgymnas Sandvika AS;;;;;;;;;;;;;;;;;*;*;*;*;4,3;13;4,8;10;*;*;*;*;*;*;*;*;3,6;25;4,5;12;3,4;25;4,8;12
NOR1267;Akershus;Norges Toppidrettsgymnas Bærum AS;;;;;;;;;;;;;;;;;3,5;84;4,0;35;4,3;84;4,9;35;3,1;80;3,7;30;4,2;81;4,7;30;3,6;83;4,0;37;4,3;84;4,6;37
NOR1267;Akershus;Roald Amundsen videregående skole;;;;;;;;;;;;;;;;;*;*;4,0;10;3,9;61;4,0;44;3,6;56;3,9;53;4,4;58;4,9;53;3,5;54;3,8;58;3,6;54;4,1;58
NOR1267;Akershus;Rosenvilde videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,1;45;4,5;77;2,9;43;3,8;68;3,2;43;4,1;69;2,9;46;3,8;61;3,0;46;4,3;62
NOR1267;Akershus;Rælingen videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,3;37;4,1;47;3,1;30;3,5;51;3,4;31;3,9;52;3,2;41;3,3;46;3,8;41;4,3;47
NOR1267;Akershus;Røyken videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,0;45;4,9;41;3,1;49;3,5;57;3,6;51;4,1;59;*;*;*;*;*;*;*;*
NOR1267;Akershus;Sandvika videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,1;70;4,6;135;3,5;84;3,8;111;3,9;85;4,2;111;3,8;91;3,9;113;4,0;91;4,3;114
NOR1267;Akershus;Skedsmo videregående skole;;;;;;;;;;;;;;;;;3,9;8;4,7;9;4,0;90;4,6;81;3,5;90;3,8;86;3,7;90;4,5;86;3,3;72;3,6;96;3,8;74;4,4;96
NOR1267;Akershus;Ski videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,3;57;4,7;90;3,9;57;4,2;86;4,3;58;4,6;86;3,9;67;4,1;71;4,2;67;4,4;71
NOR1267;Akershus;Stabekk videregående skole;;;;;;;;;;;;;;;;;3,7;9;5,0;11;4,1;74;5,0;42;3,8;64;4,0;53;4,0;64;4,9;54;4,0;61;4,4;55;4,1;64;4,7;56
NOR1267;Akershus;Sørumsand videregående skole;;;;;;;;;;;;;;;;;*;*;;;3,5;30;4,3;19;*;*;*;*;*;*;*;*;3,1;49;3,5;62;3,9;49;4,1;63
NOR1267;Akershus;Valler videregående skole;;;;;;;;;;;;;;;;;5,1;15;5,2;13;4,7;76;5,0;101;3,5;92;4,1;82;4,5;93;5,1;83;3,8;86;4,1;94;4,7;86;5,0;94
NOR1267;Akershus;Vestby videregående skole;;;;;;;;;;;;;;;;;4,3;19;4,6;14;3,3;53;3,9;42;3,4;37;3,8;41;3,4;38;3,9;41;3,5;35;4,0;43;3,7;35;4,3;44
NOR1267;Akershus;Wang Romerike AS;;;;;;;;;;;;;;;;;*;*;*;*;3,9;71;4,8;52;3,3;73;4,0;51;3,5;73;4,6;51;3,6;68;4,2;59;3,8;70;4,4;59
NOR1267;Akershus;Ås videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,5;45;4,6;72;3,5;37;4,2;71;3,8;37;4,3;74;3,9;39;4,1;102;4,2;40;4,3;103
NOR1267;Buskerud;Alle skoler;;;;;;;;;;;;;;;;;;;;;;;;;3,5;469;3,8;672;4,0;472;4,3;676;3,5;493;3,8;638;3,8;499;4,3;647
NOR1267;Buskerud;Akademiet Drammen AS;;;;;;;;;;;;;;;;;*;*;*;*;4,7;22;5,1;34;4,5;22;4,9;40;5,0;22;5,4;40;4,2;23;*;*;5,1;24;*;*
NOR1267;Buskerud;Akademiet Vgs Bragernes Drammen AS;;;;;;;;;;;;;;;;;*;*;*;*;3,4;16;4,1;26;3,0;8;3,8;37;3,1;8;3,9;37;3,2;22;3,6;34;3,1;22;3,9;34
NOR1267;Buskerud;Akademiet Ypsilon videregående skole AS;;;;;;;;;;;;;;;;;*;*;*;*;3,9;17;4,3;39;3,5;20;3,7;33;3,8;20;4,3;33;3,6;19;4,0;39;3,5;19;4,1;39
NOR1267;Buskerud;Briskeby videregående skole AS;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;;;*;*;;;*;*;*;*;*;*;*;*;*;*
NOR1267;Buskerud;Buskerud videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;3,1;26;3,8;23;4,0;26;4,7;23
NOR1267;Buskerud;Drammen videregående skole;;;;;;;;;;;;;;;;;4,0;28;4,3;51;4,1;102;4,3;176;3,5;132;3,6;155;3,8;132;4,0;155;3,5;134;3,8;161;3,7;135;4,0;165
NOR1267;Buskerud;Eiker videregående skole;;;;;;;;;;;;;;;;;4,3;9;4,1;16;3,9;47;4,2;63;3,7;42;3,8;68;4,1;43;4,2;70;3,8;56;4,0;62;4,0;57;4,3;62
NOR1267;Buskerud;Gol vidaregåande skule;;;;;;;;;;;;;;;;;;;*;*;3,4;16;4,3;27;3,6;18;4,0;45;4,6;18;4,8;45;3,7;21;4,1;22;4,2;21;4,7;22
NOR1267;Buskerud;Kongsberg videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,0;61;4,5;74;3,5;53;3,9;60;4,2;55;4,5;62;3,6;56;3,8;69;3,9;56;4,3;71
NOR1267;Buskerud;Norges Toppidrettsgymnas Geilo AS;;;;;;;;;;;;;;;;;3,8;13;3,8;15;4,2;13;4,7;15;3,9;19;*;*;4,3;19;*;*;3,3;23;4,3;8;4,0;23;5,0;8
NOR1267;Buskerud;Numedal videregående skole;;;;;;;;;;;;;;;;;*;*;;;*;*;*;*;*;*;*;*;*;*;*;*;;;2,9;7;;;5,0;7
NOR1267;Buskerud;Ringerike videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,0;44;4,6;76;3,9;58;3,8;84;4,5;58;4,4;84;3,1;45;4,0;81;3,9;46;4,9;82
NOR1267;Buskerud;St Hallvard videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,5;58;3,7;77;3,0;59;3,5;70;3,5;59;3,8;70;3,3;58;3,6;76;3,2;60;3,8;78
NOR1267;Buskerud;Tyrifjord videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,8;12;4,5;24;3,4;17;3,8;29;4,3;17;4,5;29;*;*;*;*;*;*;*;*
NOR1267;Finnmark - Finnmárku - Finmarkku;Alle skoler;;;;;;;;;;;;;;;;;;;;;;;;;3,5;71;4,0;125;3,9;72;4,4;125;3,4;65;3,8;123;3,9;65;4,3;123
NOR1267;Finnmark - Finnmárku - Finmarkku;Alta videregående skole;;;;;;;;;;;;;;;;;*;*;4,7;9;*;*;*;*;3,1;24;3,8;41;4,1;24;4,6;41;*;*;*;*;*;*;*;*
NOR1267;Finnmark - Finnmárku - Finmarkku;Båtsfjord private videregående skole AS;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;;;*;*;;;*;*;*;*;*;*;*;*;*;*
NOR1267;Finnmark - Finnmárku - Finmarkku;Hammerfest videregående skole;;;;;;;;;;;;;;;;;;;*;*;3,4;8;*;*;3,6;15;3,9;26;3,8;15;4,0;26;3,0;10;3,3;29;3,6;10;3,8;29
NOR1267;Finnmark - Finnmárku - Finmarkku;Kirkenes videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,9;15;3,8;30;3,5;15;4,2;26;3,6;16;4,3;26;3,7;9;3,9;16;3,9;9;4,1;16
NOR1267;Finnmark - Finnmárku - Finmarkku;Lakselv videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;4,3;6;4,6;7;4,0;6;5,1;7;*;*;*;*;*;*;*;*
NOR1267;Finnmark - Finnmárku - Finmarkku;Nordkapp videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;*;*;4,5;6;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Finnmark - Finnmárku - Finmarkku;Vadsø videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,6;7;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Finnmark - Finnmárku - Finmarkku;Vardø videregående skole;;;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;3,7;6;*;*;5,2;6
NOR1267;Innlandet;Alle skoler;;;;;;;;;;;;;;;;;4,2;91;4,6;154;3,9;541;4,3;830;3,5;599;3,9;744;3,9;602;4,4;748;3,5;538;4,0;663;3,7;542;4,3;667
NOR1267;Innlandet;Elverum videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,7;45;4,4;66;3,2;47;3,9;66;3,8;47;4,5;66;3,7;43;4,3;67;3,5;43;4,6;67
NOR1267;Innlandet;Gausdal videregående skole;;;;;;;;;;;;;;;;;;;*;*;*;*;4,4;11;*;*;4,1;16;*;*;4,2;16;*;*;*;*;*;*;*;*
NOR1267;Innlandet;Gjøvik videregående skole;;;;;;;;;;;;;;;;;3,9;11;3,8;15;3,7;42;4,2;77;3,5;56;3,9;59;3,6;56;4,0;59;3,5;64;3,9;46;3,4;65;4,0;47
NOR1267;Innlandet;Hadeland videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,9;24;4,4;51;4,0;24;4,1;48;4,4;24;4,6;48;3,6;33;3,8;33;3,9;33;4,3;33
NOR1267;Innlandet;Hamar katedralskole;;;;;;;;;;;;;;;;;*;*;*;*;3,9;75;4,3;110;3,4;89;3,6;109;3,9;89;4,1;110;3,5;92;4,2;94;3,8;93;4,3;95
NOR1267;Innlandet;Lena-Valle videregående skole avd Lena;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Innlandet;Lillehammer videregående skole avd Sør;;;;;;;;;;;;;;;;;4,4;11;4,4;27;3,9;66;4,1;88;3,7;70;4,2;84;3,8;70;4,3;85;*;*;*;*;*;*;*;*
NOR1267;Innlandet;Nord-Gudbrandsdal vidaregåande skule;;;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;3,9;12;*;*;4,7;12;3,7;6;3,9;19;3,7;6;4,3;19
NOR1267;Innlandet;Nord-Gudbrandsdal Videregåande skule Avd Dombås;;;;;;;;;;;;;;;;;*;*;*;*;3,8;6;4,2;18;*;*;*;*;*;*;*;*;;;;;;;;
NOR1267;Innlandet;Nord-Gudbrandsdal Videregåande skule avd Lom (Nedlagt);;;;;;;;;;;;;;;;;*;*;*;*;4,2;9;4,4;20;3,2;6;3,8;18;4,0;7;4,6;18;3,5;11;3,8;14;4,2;11;4,7;15
NOR1267;Innlandet;Nord-Østerdal videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;3,5;16;4,1;19;3,6;16;4,7;20;*;*;*;*;*;*;*;*
NOR1267;Innlandet;Norges Toppidrettsgymnas Kongsvinger AS;;;;;;;;;;;;;;;;;*;*;*;*;3,4;17;4,0;30;3,1;24;3,6;24;4,1;24;4,6;25;3,3;16;3,7;24;3,8;16;4,7;24
NOR1267;Innlandet;Norges Toppidrettsgymnas Lillehammer AS;;;;;;;;;;;;;;;;;*;*;;;4,0;54;4,3;36;3,4;62;3,9;33;3,8;63;4,6;33;3,6;47;3,8;38;4,0;47;4,3;38
NOR1267;Innlandet;Raufoss videregående skole avd Dokka;;;;;;;;;;;;;;;;;*;*;*;*;3,4;9;4,4;16;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Innlandet;Ringsaker videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Innlandet;Sentrum videregående skole avd Skarnes;;;;;;;;;;;;;;;;;;;*;*;3,5;8;4,4;19;4,0;13;4,0;14;4,4;13;4,4;14;3,5;11;4,7;21;4,1;11;4,8;21
NOR1267;Innlandet;Solør videregående skole;;;;;;;;;;;;;;;;;4,5;8;4,5;8;3,3;12;4,1;20;4,3;8;3,9;21;4,3;8;3,7;21;3,4;12;4,2;14;3,8;12;4,7;14
NOR1267;Innlandet;Stange videregående skole;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;4,0;10;4,1;19;4,6;10;4,7;19;2,5;8;4,1;17;3,1;8;4,6;17
NOR1267;Innlandet;Trysil videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;4,0;6;4,3;7;3,3;6;4,1;7;*;*;*;*;*;*;*;*
NOR1267;Innlandet;Valdres vidaregåande skule;;;;;;;;;;;;;;;;;*;*;*;*;4,3;8;4,2;26;3,4;16;3,9;26;4,1;16;4,4;26;2,6;7;2,9;16;2,9;7;3,5;16
NOR1267;Innlandet;Vinstra vidaregåande skule;;;;;;;;;;;;;;;;;*;*;*;*;*;*;4,5;42;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Innlandet;Wang Hamar AS;;;;;;;;;;;;;;;;;*;*;;;4,1;42;4,7;27;3,5;49;3,6;22;4,0;49;4,2;22;3,5;35;4,0;30;4,3;35;4,5;30
NOR1267;Innlandet;Øvrebyen videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,4;32;4,2;50;3,4;14;3,8;43;3,6;16;4,3;43;3,7;21;4,2;29;3,3;21;4,5;29
NOR1267;Møre og Romsdal;Alle skoler;;;;;;;;;;;;;;;;;4,6;47;4,7;90;3,9;447;4,4;648;3,5;367;3,8;601;4,0;379;4,4;621;3,6;386;3,9;598;4,0;391;4,4;603
NOR1267;Møre og Romsdal;Akademiet Toppidrettsgymnas Ålesund AS;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;2,8;8;3,7;6;3,0;8;3,7;6;*;*;*;*;*;*;*;*
NOR1267;Møre og Romsdal;Akademiet Vgs Ålesund AS;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Møre og Romsdal;Atlanten videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,8;56;4,5;67;4,0;46;3,9;81;4,3;47;4,6;83;3,4;49;3,6;72;4,3;49;4,5;72
NOR1267;Møre og Romsdal;Haram vidaregåande skule;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Møre og Romsdal;Hustadvika vidaregåande skole;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;3,4;8;3,4;23;3,5;8;4,3;23;*;*;*;*;*;*;*;*
NOR1267;Møre og Romsdal;Molde videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;4,1;65;4,5;99;3,7;62;3,9;101;4,1;62;4,5;101;3,8;53;4,1;89;4,1;54;4,5;89
NOR1267;Møre og Romsdal;Rauma videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;5,0;12;4,8;17;*;*;*;*;*;*;*;*;3,6;11;3,9;10;4,1;11;4,2;10
NOR1267;Møre og Romsdal;Spjelkavik videregående skole;;;;;;;;;;;;;;;;;4,6;19;4,4;18;3,7;84;4,3;99;3,5;82;3,9;71;3,8;83;4,3;72;3,4;68;3,9;94;3,9;69;4,5;95
NOR1267;Møre og Romsdal;Stranda vidaregåande skule;;;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;3,7;9;*;*;4,0;9
NOR1267;Møre og Romsdal;Sunndal vidaregåande skole;;;;;;;;;;;;;;;;;*;*;;;3,5;15;4,1;9;*;*;*;*;*;*;*;*;3,8;12;3,7;10;4,7;12;4,8;10
NOR1267;Møre og Romsdal;Surnadal vidaregåande skule;;;;;;;;;;;;;;;;;;;;;*;*;*;*;3,3;7;3,6;18;4,4;7;4,9;18;3,5;13;4,1;18;4,2;13;4,7;18
NOR1267;Møre og Romsdal;Sykkylven vidaregåande skule;;;;;;;;;;;;;;;;;;;;;3,7;11;4,2;25;3,5;12;3,9;8;3,8;12;4,6;8;3,8;11;3,4;14;3,8;12;4,1;14
NOR1267;Møre og Romsdal;Tingvoll vidaregåande skole;;;;;;;;;;;;;;;;;*;*;*;*;*;*;5,3;7;*;*;*;*;*;*;*;*;*;*;;;*;*;;
NOR1267;Møre og Romsdal;Ulstein vidaregåande skule;;;;;;;;;;;;;;;;;;;*;*;3,8;28;4,1;43;3,9;30;3,9;44;4,0;30;4,4;44;3,5;23;4,0;42;3,5;24;4,2;42
NOR1267;Møre og Romsdal;Vestborg Vgs;;;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
NOR1267;Møre og Romsdal;Volda vidaregåande skule;;;;;;;;;;;;;;;;;;;*;*;3,9;38;4,5;65;3,3;27;4,0;50;3,6;27;4,2;50;4,0;30;4,0;38;4,0;30;4,3;38
NOR1267;Møre og Romsdal;Ålesund videregående skole;;;;;;;;;;;;;;;;;;;;;;;;;3,2;57;3,8;102;4,2;67;4,3;118;3,4;69;3,9;99;3,9;69;4,3;100
NOR1267;Møre og Romsdal;Ålesund videregående skole Lokalitet Volsdalsberga;;;;;;;;;;;;;;;;;*;*;*;*;4,2;68;4,7;109;;;;;;;;;;;;;;;;
NOR1267;Nordland - Nordlánnda;Alle skoler;;;;;;;;;;;;;;;;;4,0;88;4,3;146;3,9;335;4,3;460;3,5;281;3,9;471;3,8;283;4,4;474;3,5;278;4,0;429;3,9;281;4,5;429
NOR1267;Nordland - Nordlánnda;Andøy videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;*;*;*;*;3,7;6;4,2;6;4,7;6;*;*;*;*;*;*;*;*;*;*
NOR1267;Nordland - Nordlánnda;Aust-Lofoten videregående skole;;;;;;;;;;;;;;;;;3,3;8;4,7;7;3,9;18;4,7;33;3,0;21;3,4;23;3,6;21;3,9;23;3,2;17;3,8;32;3,5;17;4,5;32
NOR1267;Nordland - Nordlánnda;Bodin videregående skole;;;;;;;;;;;;;;;;;3,9;7;3,9;17;4,2;36;4,4;50;3,5;26;4,1;53;3,8;26;4,4;53;3,4;42;3,8;59;4,2;42;4,9;59
NOR1267;Nordland - Nordlánnda;Bodø videregående skole;;;;;;;;;;;;;;;;;*;*;*;*;3,7;45;4,4;61;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
